,BANKA,SANAYI,HOLD,GAYRIM,TEKNOLOJI,ENERJI,PERAK,OTOMOT,BANKA_RV,SANAYI_RV,HOLD_RV,GAYRIM_RV,TEKNOLOJI_RV,ENERJI_RV,PERAK_RV,OTOMOT_RV,BANKA_BPV,SANAYI_BPV,HOLD_BPV,GAYRIM_BPV,TEKNOLOJI_BPV,ENERJI_BPV,PERAK_BPV,OTOMOT_BPV
2018-01-02,0.0074885317793765395,0.004448364490398211,0.012226184632678036,0.02712310930766955,0.0045301076888524736,0.0031311903293694235,0.02793807963110298,0.026674381866174393,0.0051449042336678494,0.0019784795815302593,0.012232692520532579,0.05774029712478872,0.001604526065927426,0.0007854443947574686,0.06645653497277287,0.05579352691851548,0.0048955746634400344,0.0018825995726198166,0.01163987838243558,0.05494211803085315,0.0015267683903191845,0.0007473806127144131,0.06323595426785689,0.05308969115087277
2018-01-03,-0.006943292597110264,0.00010455139900188413,-0.008353585187710144,-0.01191541501224042,-0.0005778018908515915,-0.02590853887798678,-0.031138023913528018,-0.02596405916048005,0.003967929231061524,9.047452906879423e-07,0.005942300535821303,0.012382428573260598,2.856609930177525e-05,0.05900793256725243,0.07584249604512994,0.05669364313762152,0.003775637587730068,8.609000130602873e-07,0.00565432797666939,0.011782358007448196,2.7181744425859683e-05,0.056148322009149515,0.07216705796404906,0.05394618642391801
2018-01-04,-0.014699366027669141,-0.008323379208081664,-0.018144093133344086,-0.031518629241839596,0.010114538363768792,-0.0034029785307790866,-0.007026021679974146,-0.025812644916424845,0.01841692124892256,0.005993379161947688,0.02813634879530243,0.07995959977788523,0.008693477230764218,0.0009748847472298243,0.004166162467901873,0.060994413188477654,0.01752441035826993,0.005702931258003819,0.026772820256324853,0.07608464083934043,0.008272178632522578,0.0009276404091413038,0.0039642641525117145,0.05803853487939993
2018-01-05,-0.007921401593008292,-0.0049765132699410115,-0.019721681017357776,-0.009446914211822713,-0.01479651924145034,-0.014343767356035765,-0.017700845062111722,0.010852652990158675,0.005603696242915954,0.002074074204003541,0.03546896192971705,0.009517755920219854,0.020672535480661416,0.018333072748438515,0.026019972209329438,0.010804845773866869,0.005332132942127863,0.0019735615401291085,0.033750084253337344,0.009056511573319758,0.019670714231359354,0.01744462527853007,0.024759006369413934,0.010281227173631913
2018-01-08,-0.0001932813097565313,-0.010345282385085556,0.009947993515343118,-0.01055957141252341,0.0014039243694967142,-0.024529487060057434,-0.023827479064359478,-0.01171207009786718,2.968227882414624e-06,0.008446553326457995,0.009230765629212165,0.009627942471310363,0.000159778929901664,0.06337782385589455,0.05580784340757096,0.012417476802323524,2.824383225906206e-06,0.008037221021104135,0.008783429250792466,0.009161358323282678,0.00015203580969679257,0.06030644198632396,0.05310331384196793,0.011815707748163696
2018-01-09,0.010336541624860904,0.009647801406057772,0.0027554594661539935,-0.0001252431869990025,-0.01710447629325163,-0.016522602444016304,-0.008476162089198738,0.008605451247117788,0.008742502623508456,0.007370682476357172,0.0006009251474190629,1.372126286500925e-06,0.028540634501683634,0.02209700385210006,0.006154587472980288,0.006061156993562125,0.008318828183162081,0.0070134884430669365,0.0005718034374823422,1.305631043484969e-06,0.027157513687156663,0.021026150785931567,0.005856327178935184,0.005767424476949119
2018-01-10,0.004774177473393431,-0.013018220457209632,0.0029026493354938434,-0.0037085809574530955,-0.010808905123895802,0.0014879433200274386,0.012859479570983545,0.016827190852573712,0.002049186717866264,0.014136869126812848,0.000763187737468937,0.0012514767576719916,0.010592692060634684,0.0001897902229740823,0.013224261838693976,0.022879371059498495,0.0019498801379033749,0.013451775810461204,0.0007262025455306581,0.0011908283669597687,0.010079354739066933,0.00018059271169332632,0.012583394803843247,0.02177060333627876
2018-01-11,-0.011452753412261481,-0.011964128435720436,-0.00041508616664019833,0.009372078415817763,-0.00896285187035456,-0.00816586782626818,-0.020086547662606376,-0.026940697409395573,0.01233465874233639,0.013836029169083908,1.3463876895037185e-05,0.007142983465598668,0.006808273954140264,0.00623634217618892,0.03432199157803462,0.05847394608975231,0.011736903172269924,0.013165514996281148,1.2811397764741178e-05,0.006796824058788398,0.006478335058898893,0.005934119929872339,0.03265869775936361,0.05564021329591783
2018-01-12,0.011067601392995256,0.02156510450264145,0.005877659610662996,0.01878392918991123,0.013615449251044968,0.003553622980835871,0.014676181247567862,0.032272164794558106,0.010519487688150928,0.03715451970199616,0.002834802170936851,0.02891251360065281,0.015536014751755249,0.001204091527251833,0.018576559326496517,0.0911010676618044,0.010009697957345067,0.03535395743521993,0.0026974235191953243,0.027511370982082152,0.014783116795801144,0.00114573949398364,0.017676312141548446,0.08668617692413567
2018-01-15,-0.0004865925465795045,0.014958666429040673,-0.03254630842401447,-0.01023408459044421,-0.003493197996157106,-0.007731802058696618,-0.003966245839785768,-0.03232816189474721,1.9282734707623146e-05,0.02138869057236355,0.09556938736080588,0.008726858512272005,0.0009533514663194746,0.0049705409974603355,0.001535578609512533,0.09039639800677472,1.8348265232757687e-05,0.0203521634018002,0.09093795532720747,0.008303942208395044,0.0009071506624603842,0.004729661324212655,0.0014611622282987978,0.08601565658933849
2018-01-16,-0.0029258632178024995,0.0010643862637755373,0.021491279634382462,0.006317474728141922,-0.007177758280762811,-0.007662278948243185,0.013968283529807847,0.013572478172786862,0.000793822616121002,8.962262850502017e-05,0.0403884018428524,0.0031400387404976315,0.0045036702187164525,0.0056498336275783686,0.017023131398395938,0.015490400151740113,0.0007553528132392741,8.527938508726787e-05,0.03843112092637406,0.002987867878979219,0.004285415784993036,0.0053760344417734035,0.016198165598698664,0.014739712745895662
2018-01-17,-0.006936714564901328,-0.0008425198152976706,-0.00044950937754164525,0.010305384868543516,-0.009102193234608652,-0.008274628369171439,-0.007568206297080971,-0.026210105629762975,0.004449016873532463,7.214431041692289e-05,1.7150986106102997e-05,0.009912219160954885,0.006469327159432625,0.0055903257472058425,0.00491112678016518,0.05541769724301583,0.004233411020705278,6.864809181037947e-05,1.631982428061469e-05,0.009431858549530459,0.006155814120692436,0.0053194104001595,0.004673126406626652,0.05273207473012294
2018-01-18,0.0038390653157621907,0.005633003385770327,0.0022764067545927827,-0.0005281709730424792,-0.016990115389431976,-0.012493384066745,-0.007174287609268485,-0.017322222151995803,0.001381548345912387,0.002698450741853424,0.0004471915714579654,2.2288715000851763e-05,0.028038772371649597,0.013852170857668626,0.004104948518713001,0.027309550925615832,0.0013145964961420531,0.0025676798794252234,0.0004255200150485222,2.120857133253496e-05,0.02667997252861441,0.013180874435071741,0.0039060167206670013,0.025986090218448464
2018-01-19,-0.0020615125293315197,0.002055170513981528,0.027145086577101695,0.017604566296075274,0.010112018944174678,0.0074248774578651085,-0.018351613264182314,-0.007070736285188651,0.00035454477276824483,0.0003871456954182147,0.058684442518747375,0.03149053198367272,0.008108791381095522,0.0045111741048849355,0.02820659765952727,0.004346177382254168,0.00033736301547870147,0.0003683840498228491,0.0558405087606593,0.029964454830602567,0.00771582751271381,0.004292556021882844,0.026839664758032785,0.004135555281310074
2018-01-22,0.0007585483868299591,0.023102641267826175,0.002756207265244704,0.007143231218134809,0.004574290937827894,-0.008513110659407129,0.018935845979743137,0.02342839763043473,4.7951845339064504e-05,0.04476950961602221,0.0006217729949870134,0.0044094481886385005,0.0016736257224616718,0.006061575396835598,0.03115311451410825,0.04808771567397625,4.562802890886125e-05,0.04259991382086101,0.0005916409679213018,0.004195759892047743,0.0015925193766189426,0.005767822603789131,0.029643389104210174,0.045757314768985584
2018-01-23,0.009821057598107233,-0.00011940541201594847,0.023233387505527392,-0.0017900068076562277,0.012283813010866182,0.03285298905955442,-0.003882630112756725,-0.004458769132377374,0.008590343152333398,1.1253413589649085e-06,0.043903793162555514,0.00026140793091973644,0.01335622645604035,0.09186231671035404,0.0011997524109221204,0.0017335130355802695,0.008174042582098329,1.070805673819555e-06,0.04177615125059188,0.00024873972095698356,0.012708964223177396,0.08741053473244234,0.001141610657565957,0.0016495044631141085
